filename, stage1, stage2, stage3
00191_JPG.rf.05af5b5f70a312c5d7dc7251853b6521.jpg, 1, 1, 0
00189_JPG.rf.0925f75c22bb7f704a223343ff6503c1.jpg, 0, 1, 0
00129_JPG.rf.057cfbedc1d39396111faf59c352b543.jpg, 0, 1, 0
00385_JPG.rf.0a5bf571a70bce3ae96799ff528f0448.jpg, 1, 0, 0
00022_jpg.rf.0f5bf76ab062dca3fdd9123a43786e7e.jpg, 0, 0, 0
00233_JPG.rf.1b0c36bced2d2a2715c459d5bd0ddc87.jpg, 0, 1, 0
00122_JPG.rf.142085f6d5c264a158e2a25925427f56.jpg, 0, 0, 1
00328_JPG.rf.0b8b6e62a7480561a18e62fb77ac20a0.jpg, 1, 0, 1
00267_JPG.rf.189b6ff4182b25c3297c7e54bcfe98a0.jpg, 0, 1, 0
00345_JPG.rf.1bc8aa6a4dafe0d2da768773356990a5.jpg, 1, 0, 1
00361_JPG.rf.1346057460e3df51d23ca63b98a22912.jpg, 1, 0, 1
00228_JPG.rf.189f9799240377b446e25b2c23cfeb27.jpg, 0, 1, 0
00266_JPG.rf.12009e3520ef3381602ec8649a881b13.jpg, 0, 1, 1
00295_JPG.rf.115bf0bfc6c08da166176da603ddb38c.jpg, 0, 1, 1
00117_JPG.rf.134f58f08e04f3e4adc608b871f8c5ff.jpg, 0, 0, 1
00289_JPG.rf.15570bfe02464b6fff80ff41e1709a0d.jpg, 0, 1, 1
00305_JPG.rf.1b4e8efa194e5a24cdab8b72e7e986e3.jpg, 0, 0, 0
00227_JPG.rf.04c0f7461e556e96b732b3745ebc8553.jpg, 0, 1, 0
00323_JPG.rf.121583a3ea1f116393b308904844fb14.jpg, 1, 0, 0
00005_jpeg.rf.1c93cd9a489ffc42a1e5d66627bbce9d.jpg, 0, 1, 0
00185_JPG.rf.1efaedc767bb45291127f09a2fe8e9ad.jpg, 0, 0, 1
00291_JPG.rf.1faa035837dbc6c93ffdd0b8a239696a.jpg, 1, 1, 0
00343_JPG.rf.24ba569324c4f4bc08a776fd81004f05.jpg, 0, 0, 0
00287_JPG.rf.21870c163ef4affcfbfed5f90bc5e916.jpg, 1, 0, 0
00175_JPG.rf.1de0a7cfef6f2442833476c359c5a96c.jpg, 1, 1, 1
00363_JPG.rf.229d50710e10d83195bd8643264823b7.jpg, 0, 1, 1
00168_JPG.rf.21e9aff12803f28f52e664413eb13700.jpg, 1, 1, 0
00310_JPG.rf.0deaf10df47c2b0e6fef8d37ce145244.jpg, 1, 1, 1
00273_JPG.rf.264901722d52a259c1c2238ebbf74eee.jpg, 1, 1, 0
00257_JPG.rf.2834760d50c31472688c9ed812163ab6.jpg, 0, 0, 0
00225_JPG.rf.2a778ef64118885e163b7d6d19180f95.jpg, 0, 1, 0
00372_JPG.rf.2857c15d9fac9a42766b0eadd7a80495.jpg, 1, 0, 0
00259_JPG.rf.2997d37a578652a7f7004112a840fd81.jpg, 0, 1, 1
00199_JPG.rf.1fc3bd2e961a4e1ca17afcab26ee20db.jpg, 1, 1, 0
00299_JPG.rf.26c5608a45c0250469f7b7fd60cb3beb.jpg, 0, 1, 0
00381_JPG.rf.282d1ea4487d5410d93db0b887609b26.jpg, 0, 1, 0
00327_JPG.rf.2cc2a93e6769875582522a555cbc8d54.jpg, 1, 1, 0
00132_JPG.rf.2d2b8ff0c7c69c65a662d3d01913e4e8.jpg, 0, 0, 1
00384_JPG.rf.3021c4012416f0edb8e2c6ba7a8ea97e.jpg, 1, 0, 0
00349_JPG.rf.3d59184595ad818cbc77654b38afba7d.jpg, 1, 0, 1
00010_jpg.rf.30c41a780566a7f00ed78ba846a5cb9a.jpg, 0, 0, 0
00285_JPG.rf.42a360a6c8e06227b2ca0fcb55be2bec.jpg, 1, 1, 0
00137_JPG.rf.46f30d7839e05edfaeedd8a726779a02.jpg, 0, 1, 1
00222_JPG.rf.3e5c0a6d69001a7681279f61bf0f0bfc.jpg, 0, 1, 0
00248_JPG.rf.477383e6f9a2ad368f0ca8e30059dd77.jpg, 0, 1, 0
00411_JPG.rf.300cfc65bb8232f7cb6ee5e61a43ddc8.jpg, 0, 0, 0
00173_JPG.rf.32109377ba34070fdea7ec42a3644aa1.jpg, 1, 0, 0
00130_JPG.rf.382d65519bc7e103fb5995e5692cf150.jpg, 0, 0, 1
00160_JPG.rf.388c4cbc482f9d5f6d2ab25e1a241a28.jpg, 0, 1, 1
00200_JPG.rf.5bf28d7cafc6950c13c53b4570a0110f.jpg, 0, 1, 1
00240_JPG.rf.42475e8799728e7009d17a15518e8b88.jpg, 0, 0, 1
00155_JPG.rf.3dd14eca63ab9b1446c3b5dd4e431b5e.jpg, 0, 0, 1
00202_JPG.rf.3cfcb638c126fd8cbdbf582612418dfa.jpg, 1, 1, 0
00324_JPG.rf.4b41538988173c80366af9faef324463.jpg, 1, 0, 0
00123_JPG.rf.49c3c63911b1b278ddd06f2a9b276f29.jpg, 0, 0, 1
00374_JPG.rf.550acfb8614e72d107c00552f1155b5d.jpg, 1, 0, 0
00197_JPG.rf.59a1ee733ed32f7fc9b6ad19dfcc9b85.jpg, 1, 1, 0
00145_JPG.rf.512297b6613989b494ebb6c7e82dc450.jpg, 0, 1, 1
00358_JPG.rf.3ef47d9310b411070ac4e1b72d8040da.jpg, 1, 1, 0
00131_JPG.rf.34221d359f54a1555f867252aac688c1.jpg, 0, 1, 1
00205_JPG.rf.5207588be18850e2f52b10e3324491dc.jpg, 1, 1, 0
